ano_implantacao;referencia;nome;bairro;local;rpa;quantidade;vagas;latitude;longitude 
2023;P156;Academia da Cidade Polo Praça do Salgueiro;Iputinga;Praça do Salgueiro, lado oposto do lote nº 90;4;3;6;-8.04236; -34.93807 
2023;P156;Academia da Cidade Polo Praça do Salgueiro;Iputinga;Praça do Salgueiro, lado oposto do lote nº 38;4;2;4;-8.04236; -34.93807 
2023;P157;Rua do Livramento;Santo Antônio;Rua do Livramento, 64  - próximo a Loja Tropical.;1;5;10;-8.06659; -34.87772 
2023;P158;Praça do Sebo;Santo Antônio;Próximo a Praça do sebo;1;5;10;-8.063; -34.87881 
2023;P159;Praça Mago Jefferson ;Campina do Barreto;Rua Dr. Elias Gomes 43 ;2;5;10;-8.02106; -34.87954 
2023;P160;Praça Capiba - Cajueiro;Cajueiro;Rua Manoel Brandão;2;5;10;-8.00898; -34.88523 
2023;P161;Praça Onildo Almeida ;Campina do Barreto; Av. Poe. Vinícius de Morais, 349;2;5;10;-8.01855; -34.87942 
2023;P162;Largo da Paz;Afogados;Praça da Paz, nº 68;5;5;10;-8.08061; -34.9063 
2023;P163;Orla de Brasília Teimosa 01;Brasília Teimosa;Av. Brasilia Formosa - Lado oposto ao numero 137;6;5;10;-8.08299; -34.87746 
2023;P164;Orla de Brasília Teimosa 02;Brasília Teimosa;Av. Brasilia Formosa - Próximo ao Quiosque do Cabo e Bar do Peixe;6;5;10;-8.0878; -34.87913 
2023;P165;Orla de Brasília Teimosa 03;Brasília Teimosa;Av. Brasilia Formosa - Lado oposto Quiosque do Seu Jorge;6;5;10;-8.08489; -34.87801 
2023;P166;Praça Caxito (san martin);San Martin;Rua Farroupilha 502;5;5;10;-8.07517; -34.93149 
2023;P167;Prefeitura do Recife;Recife;Cais do Apolo, na frente da prefeitura do Recife;1;5;10;-8.05439; -34.87201 
2023;P168;Praça Jacarezinho;Campina do Barreto;Rua Rifaina 3 - Na frente do mercadinho R.E ;2;3;6;-8.01842; -34.88293 
2023;P169;Academia Recife - Polo praça da Várzea;Várzea;Praça da Varzea;4;5;10;-8.04944; -34.95959 
2023;P170;Praça Jordão Alto;Jordão;Praça Pres. Kenedy 45 ;6;5;10;-8.13429; -34.94147 
2023;P171;Academia da Cidade Polo Jordão;Jordão;Av. Gov. Roberto Silveira 20 -Atrás do Núcleo da Polícia Militar Jordão Baixo;6;3;6;-8.13646; -34.93686 
2023;P171;Academia da Cidade Polo Jordão;Jordão;Av. Doná Carentina;6;2;4;-8.13646; -34.93686 
2023;P172;COMPAZ Dom Helder Câmara;São José;Avenida Central, 92 - Próximo a entrada do prédio.;1;5;10;-8.0736; -34.89538 
2023;P173;COMPAZ Dom Helder Câmara;São José;Avenida Central, 92 - Próximo a entrada de veículos;1;5;10;-8.07351; -34.89551 
2022;P174;SESC de Santo Amaro;Santo Amaro;Praça do Campo Santo - R. do Pombal, perto do Sesc de Santo Amaro;1;5;10;-8.04941; -34.88267 
2022;P175;Academia da Cidade Polo Heróis da Restauração; Areias;Rua Cajá, 47;5;5;10;-8.09717; -34.93571 
2023;P176;Terminal Engenho do Meio;Engenho do meio;Rua Valdemar Falcão, lado oposto ao lote nº 610;4;5;10;-8.0587; -34.94589 
2023;P177;Creche Escola Dep. Alcides Teixeira;Santo Amaro;Av. Norte Miguel Arraes de Alencar, 1193 ;1;2;4;-8.04389; -34.8828 
2024;P177;Creche Escola Dep. Alcides Teixeira;Santo Amaro;Av. Norte Miguel Arraes de Alencar, 1193 ;1;3;6;-8.04389; -34.8828 
2024;P178;Vila do Vintém;Santana;Rua Afonso de Albuquerque Melo;3;2;4;-8.03802; -34.91035 
